parameter_set_id,scenario_id,initial_branch,trial_id,stage_id,branch_loading_pu_vector,branch_limit_pu_vector,bus_voltage_pu_vector,total_load_shed_mw,base_load_mw,LLR_paper,LFOR_paper,NVOR_paper,overloaded_branch_count,voltage_violation_bus_count,normalization_status,note
high_hidden_failure,wind_speed_12_00,1,1,1,0;0.097696;1.1087;0.26376;0.47076;0.37027;0.086528;0.12568;0.4811;0.5276;0.61873;0.72103;0.70599;0.52447;0.45824;0.49323;0.48054;0.567;0.44348;0.67365;0.0015736;0.015618;0.42992;0.027936;0.50702;0.24255;0.75082;0.50693;0.047244;0.19143;0.050864;0.16011;0.66377;0.5988;0.64541;0.041863;0.67332;0.56586;0.62615;0.32736;0.61573;0.41905;0.12186;0.20524;0.46695;0.57553,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,0.99699;1.0101;0.99645;0.97976;0.98397;0.98835;0.97288;0.9701;0.99871;1.0061;0.99884;0.98598;1.0006;0.99157;0.98783;1.0016;1.0019;0.99845;1.0376;0.97853;0.99322;1.0036;0.99632;1.0045;1.0178;1.0187;1.0048;1.0213;1.0222;1;1;1;1;1;1;1;1;1;1,0,6254.23,0,6.68508626384154,0,1,0,paper_confirmed_percent_units,reconstructed smoke from existing line/bus detail
high_hidden_failure,wind_speed_12_00,1,1,2,0;0.097696;0;0.84736;0.47076;0.070208;0.71727;0.21983;0.6685;0.57036;0.61277;0.72748;0.73767;0.54781;0.46455;0.49351;0.48057;0.59013;0.42034;0.67365;0.0012771;0.018407;0.40442;0.15407;0.69028;0.057794;0.7504;0.5067;0.047197;0.86442;0.81258;0.1602;0.66377;0.5988;0.64539;0.041905;0.67332;0.56586;0.62615;1.2329;0.61573;1.2959;0.12259;0.20423;0.46777;0.57553,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,0.99699;1.0207;0.95852;0.95736;0.96852;0.97409;0.95866;0.95604;0.9927;0.99328;0.9854;0.97154;0.98587;0.97251;0.96658;0.98043;0.96821;0.96191;1.0298;0.97429;0.97832;0.99557;0.98804;0.98525;0.99111;0.97336;0.95806;0.99796;1.0062;1;1;1;1;1;1;1;1;1;1,0,6254.23,0,35.3079005290423,0,2,0,paper_confirmed_percent_units,reconstructed smoke from existing line/bus detail
high_hidden_failure,wind_speed_12_00,1,1,3,0;0.097696;0;0;0;0.68021;0.032498;0.9771;0.5158;0.91603;0.56679;0.77561;0.071521;0.97968;0.51191;0.49478;0.48077;0.10385;0.90663;0.67365;0.055254;0.038108;0.93597;0.5007;0.036469;0.70978;0.74995;0.50643;0.047086;0.23674;0.47042;0.1603;0.66377;0.5988;0.64536;0.041951;0.67332;0.56586;0.62615;0;0;0;0;0;0;0,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,0.99699;1.0485;0.92522;0.91318;0.91876;0.92389;0.90995;0.90871;0.97242;0.95784;0.94515;0.93172;0.94878;0.93427;0.94157;0.96144;0.94411;0.93532;1.0228;0.97048;0.96491;0.98838;0.9806;0.96793;1.0577;1.0526;0.92726;1.0504;1.0501;1.0499;1;1;1;1;1;1;1.0275;1.0265;1,852.5,6254.23,13.6307746916887,0,0,0,0,paper_confirmed_percent_units,reconstructed smoke from existing line/bus detail
high_hidden_failure,wind_speed_12_00,1,1,4,0;0.078141;0;0;0;0.11889;0.39822;0;0.92347;0.024125;0.03216;0.10157;0.25119;0;0.1064;0.5452;0.55381;1.0105;0;0.67365;0.96713;0.94304;0.77777;0.0036814;0.42632;0.92488;0.97637;0.63284;0.19566;0.54422;0.37607;0.0090893;0.66377;0.5988;0.66918;0.0062225;0.67332;0.61259;0.62615;0;0;0;0;0;0;0,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,0.99955;1.0485;0.88619;0.86001;0.94233;0.94367;0.93584;0.93554;0.98327;0.9728;0.95403;0.86406;0.86375;0.87077;0.90895;0.93869;0.91731;0.90381;1.0151;0.96865;0.95098;0.98103;0.97332;0.94638;1.0577;1.0526;0.90406;1.0504;1.0501;1.0499;0.982;1;1;1;1;1;1.0275;1.0265;1,1940.206,6254.23,31.0223001072874,0.612786953836106,9.18854279906636,1,5,paper_confirmed_percent_units,reconstructed smoke from existing line/bus detail
high_hidden_failure,wind_speed_12_00,1,2,1,0;0.097696;1.1087;0.26376;0.47076;0.37027;0.086528;0.12568;0.4811;0.5276;0.61873;0.72103;0.70599;0.52447;0.45824;0.49323;0.48054;0.567;0.44348;0.67365;0.0015736;0.015618;0.42992;0.027936;0.50702;0.24255;0.75082;0.50693;0.047244;0.19143;0.050864;0.16011;0.66377;0.5988;0.64541;0.041863;0.67332;0.56586;0.62615;0.32736;0.61573;0.41905;0.12186;0.20524;0.46695;0.57553,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,0.99699;1.0101;0.99645;0.97976;0.98397;0.98835;0.97288;0.9701;0.99871;1.0061;0.99884;0.98598;1.0006;0.99157;0.98783;1.0016;1.0019;0.99845;1.0376;0.97853;0.99322;1.0036;0.99632;1.0045;1.0178;1.0187;1.0048;1.0213;1.0222;1;1;1;1;1;1;1;1;1;1,0,6254.23,0,6.68508626384154,0,1,0,paper_confirmed_percent_units,reconstructed smoke from existing line/bus detail
high_hidden_failure,wind_speed_12_00,1,2,2,0;0.097696;0;0.84736;0.47076;0.032219;0.67955;0.4551;0.42459;0.67961;0.60081;0.74378;0.24102;0.88923;0.48005;0.49633;0.48108;0.16892;0.16882;0;0.028427;0.011281;0.17805;0.17698;0.71469;0.02968;0.74952;0.50615;0.046943;0.83329;0.80997;0.16039;0.66377;0.5988;0.64533;0.041997;0.67332;0.56586;0.62615;1.2326;0.61573;1.2943;0.12284;0.20376;0.46809;0.57553,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,0.99699;1.017;0.89524;0.87173;0.87522;0.87889;0.86668;0.86669;0.95431;0.87798;0.87711;0.86052;0.8786;0.88449;0.91476;0.94561;0.92852;0.91302;1.017;0.9673;0.95373;0.98238;0.97438;0.9535;0.9855;0.95458;0.92891;0.98827;0.99954;1;1;0.9841;1;1;1;1;1;1;1,0,6254.23,0,35.1505710565839,15.7467799313039,2,11,paper_confirmed_percent_units,reconstructed smoke from existing line/bus detail
high_hidden_failure,wind_speed_12_00,1,2,3,,,,2955.459,6254.23,47.2553615712886,0,0,0,0,paper_confirmed_percent_units,reconstructed smoke from existing line/bus detail
high_hidden_failure,wind_speed_12_00,2,1,1,0.16322;0;0.95035;0.30204;0.47076;0.23697;0.063569;0.2335;0.48469;0.53419;0.55563;0.67137;0.63917;0.52177;0.40901;0.38167;0.37113;0.51809;0.49239;0.67365;0.0072076;0.0099817;0.48343;0.078196;0.45654;0.29313;0.75085;0.50695;0.047244;0.21057;0.082191;0.1601;0.66377;0.5988;0.64542;0.04186;0.67332;0.56586;0.62615;0.29548;0.61573;0.38755;0.12182;0.20529;0.46691;0.57553,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,1.005;1.0128;1.0002;0.98401;0.98911;0.99326;0.97908;0.9768;1.0055;1.0094;1.0027;0.98966;1.0039;0.99496;0.99021;1.0034;1.0042;1.0013;1.0382;0.9789;0.99449;1.0042;0.99702;1.0061;1.0206;1.021;1.0072;1.0225;1.023;1;1;1;1;1;1;1;1;1;1,0,6254.23,0,0,0,0,0,paper_confirmed_percent_units,reconstructed smoke from existing line/bus detail
high_hidden_failure,wind_speed_12_00,2,2,1,0.16322;0;0.95035;0.30204;0.47076;0.23697;0.063569;0.2335;0.48469;0.53419;0.55563;0.67137;0.63917;0.52177;0.40901;0.38167;0.37113;0.51809;0.49239;0.67365;0.0072076;0.0099817;0.48343;0.078196;0.45654;0.29313;0.75085;0.50695;0.047244;0.21057;0.082191;0.1601;0.66377;0.5988;0.64542;0.04186;0.67332;0.56586;0.62615;0.29548;0.61573;0.38755;0.12182;0.20529;0.46691;0.57553,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,1.005;1.0128;1.0002;0.98401;0.98911;0.99326;0.97908;0.9768;1.0055;1.0094;1.0027;0.98966;1.0039;0.99496;0.99021;1.0034;1.0042;1.0013;1.0382;0.9789;0.99449;1.0042;0.99702;1.0061;1.0206;1.021;1.0072;1.0225;1.023;1;1;1;1;1;1;1;1;1;1,0,6254.23,0,0,0,0,0,paper_confirmed_percent_units,reconstructed smoke from existing line/bus detail
high_hidden_failure,wind_speed_12_00,3,1,1,0.66209;0.29428;0;0.052859;0.47076;0.28382;0.36151;0.59159;0.57754;0.5716;0.36665;0.52746;0.45618;0.52336;0.26608;0.051438;0.043933;0.38424;0.62624;0.67365;0.022616;0.0054861;0.62973;0.1462;0.3884;0.3609;0.75074;0.50689;0.047241;0.56598;0.20597;0.16012;0.66377;0.5988;0.64541;0.041871;0.67332;0.56586;0.62615;0.59108;0.61573;0.67822;0.12199;0.20509;0.46709;0.57553,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,1.0016;1.0189;0.98316;0.9773;0.98862;0.99324;0.98131;0.97987;1.0131;1.0075;1.0014;0.98747;1.0009;0.98975;0.98423;0.99709;0.99395;0.98809;1.0359;0.97764;0.99007;1.0019;0.99457;1.0004;1.0153;1.0112;0.9961;1.0175;1.0196;1;1;1;1;1;1;1;1;1;1,0,6254.23,0,0,0,0,0,paper_confirmed_percent_units,reconstructed smoke from existing line/bus detail
