parameter_set_id,target_group,scenario_id,metric_name,metric_source,sigma,paper_value,sim_var_value,absolute_gap,relative_gap,ratio_paper_to_sim,match_status,note
low_hidden_failure,topology_compare,concentrated_bus34,SLLR,SLLR,0.95,8.5328,1,-7.5328,0.882805071863272,8.53279146720853,same_order,sigma=0.95 paper_table_display comparison; no hidden unit scaling
low_hidden_failure,topology_compare,concentrated_bus34,SLFOR,SLFOR,0.95,6.2588,1.93621790772862,-4.32258209227138,0.690640602292896,3.23248573548029,same_order,sigma=0.95 paper_table_display comparison; no hidden unit scaling
low_hidden_failure,topology_compare,concentrated_bus34,SNVOR,SNVOR,0.95,3.8986,1,-2.8986,0.743497475119921,3.8985961014039,same_order,sigma=0.95 paper_table_display comparison; no hidden unit scaling
low_hidden_failure,topology_compare,concentrated_bus34,CRI,CRI_recomputed_from_var,0.95,7.1512,1.18724358154572,-5.96395641845428,0.833979693544382,6.0233587174511,same_order,sigma=0.95 paper_table_display comparison; no hidden unit scaling
low_hidden_failure,topology_compare,concentrated_bus34,CRI,CRI_basic,0.95,7.1512,1,-6.1512,0.860163208949098,7.15119284880715,same_order,sigma=0.95 paper_table_display comparison; no hidden unit scaling
low_hidden_failure,topology_compare,distributed_30_39,SLLR,SLLR,0.95,6.3899,1,-5.3899,0.843502896210755,6.38989361010639,same_order,sigma=0.95 paper_table_display comparison; no hidden unit scaling
low_hidden_failure,topology_compare,distributed_30_39,SLFOR,SLFOR,0.95,4.2521,2.85476041608016,-1.39733958391984,0.328623328542723,1.48947648516229,same_order,sigma=0.95 paper_table_display comparison; no hidden unit scaling
low_hidden_failure,topology_compare,distributed_30_39,SNVOR,SNVOR,0.95,2.6697,1.92682338253775,-0.74287661746225,0.27826210405669,1.38554401957683,same_order,sigma=0.95 paper_table_display comparison; no hidden unit scaling
low_hidden_failure,topology_compare,distributed_30_39,CRI,CRI_recomputed_from_var,0.95,5.2183,1.55631675972358,-3.66198324027642,0.701757763738891,3.35297850801807,same_order,sigma=0.95 paper_table_display comparison; no hidden unit scaling
low_hidden_failure,topology_compare,distributed_30_39,CRI,CRI_basic,0.95,5.2183,1.37781524398594,-3.84048475601406,0.735964590010055,3.7873700667832,same_order,sigma=0.95 paper_table_display comparison; no hidden unit scaling
low_hidden_failure,wind_speed_scan,wind_speed_11_28,SLLR,SLLR,0.95,7.5361,1,-6.5361,0.86730525506492,7.53609246390754,same_order,sigma=0.95 paper_table_display comparison; no hidden unit scaling
low_hidden_failure,wind_speed_scan,wind_speed_11_28,SLFOR,SLFOR,0.95,6.0213,2.41121234765355,-3.61008765234645,0.599552763156409,2.49720747683301,same_order,sigma=0.95 paper_table_display comparison; no hidden unit scaling
low_hidden_failure,wind_speed_scan,wind_speed_11_28,SNVOR,SNVOR,0.95,6.5482,1.36142836301705,-5.18677163698295,0.792091085319914,4.80979783298386,same_order,sigma=0.95 paper_table_display comparison; no hidden unit scaling
low_hidden_failure,wind_speed_scan,wind_speed_11_28,CRI,CRI_recomputed_from_var,0.95,7.0356,1.35452814213412,-5.68107185786588,0.807474991527501,5.19412966554201,same_order,sigma=0.95 paper_table_display comparison; no hidden unit scaling
low_hidden_failure,wind_speed_scan,wind_speed_11_28,CRI,CRI_basic,0.95,7.0356,1.07211640361401,-5.96348359638599,0.847615377333932,6.56234100508362,same_order,sigma=0.95 paper_table_display comparison; no hidden unit scaling
low_hidden_failure,wind_speed_scan,wind_speed_12_00,SLLR,SLLR,0.95,6.6351,1,-5.6351,0.849286242967515,6.63509336490664,same_order,sigma=0.95 paper_table_display comparison; no hidden unit scaling
low_hidden_failure,wind_speed_scan,wind_speed_12_00,SLFOR,SLFOR,0.95,4.7631,2.85476041608016,-1.90833958391984,0.400650665169569,1.66847568177524,same_order,sigma=0.95 paper_table_display comparison; no hidden unit scaling
low_hidden_failure,wind_speed_scan,wind_speed_12_00,SNVOR,SNVOR,0.95,4.9822,1.92682338253775,-3.05537661746225,0.613258400747431,2.58570529060782,same_order,sigma=0.95 paper_table_display comparison; no hidden unit scaling
low_hidden_failure,wind_speed_scan,wind_speed_12_00,CRI,CRI_recomputed_from_var,0.95,5.9301,1.55631675972358,-4.37378324027642,0.737556281128504,3.81034012042197,same_order,sigma=0.95 paper_table_display comparison; no hidden unit scaling
low_hidden_failure,wind_speed_scan,wind_speed_12_00,CRI,CRI_basic,0.95,5.9301,1.37781524398594,-4.55228475601406,0.767657204491805,4.3039846756666,same_order,sigma=0.95 paper_table_display comparison; no hidden unit scaling
low_hidden_failure,penetration_scan,penetration_40pct,SLLR,SLLR,0.95,6.3899,1,-5.3899,0.843502896210755,6.38989361010639,same_order,sigma=0.95 paper_table_display comparison; no hidden unit scaling
low_hidden_failure,penetration_scan,penetration_40pct,SLFOR,SLFOR,0.95,4.2521,2.85476041608016,-1.39733958391984,0.328623328542723,1.48947648516229,same_order,sigma=0.95 paper_table_display comparison; no hidden unit scaling
