parameter_set_id,scenario_id,sample_variant,initial_branch,trial_id,chain_depth,terminated_reason,P_initial_line,chain_transition_probability,probability_status,R1_LLR,R2_LFOR,R3_NVOR,R_CRI_basic,R_CRI_recomputed,scale_convention,source_file,note
low_hidden_failure,concentrated_bus34,severity_only,1,1,1,powerflow_not_converged,0.000438,NaN,severity_only,1,1,1,1,1,severity,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\low_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,Severity-only comparator; not paper risk VaR.
low_hidden_failure,concentrated_bus34,initial_probability_weighted_actual,1,1,1,powerflow_not_converged,0.000438,NaN,initial_probability_only,0.000438,0.000438,0.000438,0.000438,0.000438,actual_probability,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\low_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,R = P_initial_line * severity.
low_hidden_failure,concentrated_bus34,initial_probability_weighted_display,1,1,1,powerflow_not_converged,0.000438,NaN,initial_probability_only,4.38,4.38,4.38,4.38,4.38,paper_table_display_probability_divided_by_1e_minus_4,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\low_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,Display risk = P_initial_line * severity / 1e-4.
low_hidden_failure,concentrated_bus34,transition_probability_weighted,1,1,1,powerflow_not_converged,0.000438,NaN,missing_transition_probability,NaN,NaN,NaN,NaN,NaN,unavailable_transition_probability,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\low_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,No chain_transition_probability or chain_probability field in formal pilot chain summary; not fabricated.
low_hidden_failure,concentrated_bus34,severity_only,1,2,1,powerflow_not_converged,0.000438,NaN,severity_only,1,1,1,1,1,severity,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\low_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,Severity-only comparator; not paper risk VaR.
low_hidden_failure,concentrated_bus34,initial_probability_weighted_actual,1,2,1,powerflow_not_converged,0.000438,NaN,initial_probability_only,0.000438,0.000438,0.000438,0.000438,0.000438,actual_probability,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\low_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,R = P_initial_line * severity.
low_hidden_failure,concentrated_bus34,initial_probability_weighted_display,1,2,1,powerflow_not_converged,0.000438,NaN,initial_probability_only,4.38,4.38,4.38,4.38,4.38,paper_table_display_probability_divided_by_1e_minus_4,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\low_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,Display risk = P_initial_line * severity / 1e-4.
low_hidden_failure,concentrated_bus34,transition_probability_weighted,1,2,1,powerflow_not_converged,0.000438,NaN,missing_transition_probability,NaN,NaN,NaN,NaN,NaN,unavailable_transition_probability,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\low_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,No chain_transition_probability or chain_probability field in formal pilot chain summary; not fabricated.
low_hidden_failure,concentrated_bus34,severity_only,1,3,1,powerflow_not_converged,0.000438,NaN,severity_only,1,1,1,1,1,severity,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\low_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,Severity-only comparator; not paper risk VaR.
low_hidden_failure,concentrated_bus34,initial_probability_weighted_actual,1,3,1,powerflow_not_converged,0.000438,NaN,initial_probability_only,0.000438,0.000438,0.000438,0.000438,0.000438,actual_probability,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\low_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,R = P_initial_line * severity.
low_hidden_failure,concentrated_bus34,initial_probability_weighted_display,1,3,1,powerflow_not_converged,0.000438,NaN,initial_probability_only,4.38,4.38,4.38,4.38,4.38,paper_table_display_probability_divided_by_1e_minus_4,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\low_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,Display risk = P_initial_line * severity / 1e-4.
low_hidden_failure,concentrated_bus34,transition_probability_weighted,1,3,1,powerflow_not_converged,0.000438,NaN,missing_transition_probability,NaN,NaN,NaN,NaN,NaN,unavailable_transition_probability,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\low_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,No chain_transition_probability or chain_probability field in formal pilot chain summary; not fabricated.
low_hidden_failure,concentrated_bus34,severity_only,1,4,1,powerflow_not_converged,0.000438,NaN,severity_only,1,1,1,1,1,severity,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\low_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,Severity-only comparator; not paper risk VaR.
low_hidden_failure,concentrated_bus34,initial_probability_weighted_actual,1,4,1,powerflow_not_converged,0.000438,NaN,initial_probability_only,0.000438,0.000438,0.000438,0.000438,0.000438,actual_probability,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\low_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,R = P_initial_line * severity.
