parameter_set_id,scenario_id,sigma,metric_name,metric_source,scale_variant,var_value,sample_count,valid_sample_count,quantile_rule,source_file,note
low_hidden_failure,concentrated_bus34,0.9,SLLR,SLLR,raw,1,460,460,matlab_quantile_default,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\low_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,raw engineering risk value
low_hidden_failure,concentrated_bus34,0.9,SLLR,SLLR,percent,100,460,460,matlab_quantile_default,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\low_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,percent = 100 * raw; not used for direct paper-table comparison
low_hidden_failure,concentrated_bus34,0.9,SLLR,SLLR,paper_table_display,1,460,460,matlab_quantile_default,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\low_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,paper_table_display currently equals raw; no 1e4 or 1e-4 conversion applied
low_hidden_failure,concentrated_bus34,0.9,SLFOR,SLFOR,raw,1,460,460,matlab_quantile_default,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\low_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,raw engineering risk value
low_hidden_failure,concentrated_bus34,0.9,SLFOR,SLFOR,percent,100,460,460,matlab_quantile_default,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\low_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,percent = 100 * raw; not used for direct paper-table comparison
low_hidden_failure,concentrated_bus34,0.9,SLFOR,SLFOR,paper_table_display,1,460,460,matlab_quantile_default,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\low_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,paper_table_display currently equals raw; no 1e4 or 1e-4 conversion applied
low_hidden_failure,concentrated_bus34,0.9,SNVOR,SNVOR,raw,1,460,460,matlab_quantile_default,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\low_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,raw engineering risk value
low_hidden_failure,concentrated_bus34,0.9,SNVOR,SNVOR,percent,100,460,460,matlab_quantile_default,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\low_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,percent = 100 * raw; not used for direct paper-table comparison
low_hidden_failure,concentrated_bus34,0.9,SNVOR,SNVOR,paper_table_display,1,460,460,matlab_quantile_default,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\low_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,paper_table_display currently equals raw; no 1e4 or 1e-4 conversion applied
low_hidden_failure,concentrated_bus34,0.9,CRI_basic,CRI_basic,raw,1,460,460,matlab_quantile_default,C:\Users\24186\Documents\New project 13\results\calibration\formal_var_pilot\low_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,raw engineering risk value
