parameter_set_id,scenario_id,metric_name,sigma,severity_only_var,initial_probability_weighted_display_var,delta,relative_delta,interpretation
low_hidden_failure,concentrated_bus34,SLLR,0.9,1,6.03,5.03,5.02999497000503,weighting_changes_scale_only
low_hidden_failure,concentrated_bus34,SLFOR,0.9,1,6.16,5.16,5.15999484000516,weighting_changes_scale_only
low_hidden_failure,concentrated_bus34,SNVOR,0.9,1,6.03,5.03,5.02999497000503,weighting_changes_scale_only
low_hidden_failure,concentrated_bus34,CRI_basic,0.9,1,6.03,5.03,5.02999497000503,weighting_changes_scale_only
low_hidden_failure,concentrated_bus34,CRI_recomputed,0.9,1,6.03,5.03,5.02999497000503,weighting_changes_scale_only
low_hidden_failure,concentrated_bus34,SLLR,0.95,1,6.5,5.5,5.4999945000055,weighting_improves_paper_alignment
low_hidden_failure,concentrated_bus34,SLFOR,0.95,1.93621790772862,6.85,4.91378209227138,2.53782362761644,weighting_improves_paper_alignment
low_hidden_failure,concentrated_bus34,SNVOR,0.95,1,6.5,5.5,5.4999945000055,weighting_improves_paper_alignment
low_hidden_failure,concentrated_bus34,CRI_basic,0.95,1,6.5,5.5,5.4999945000055,weighting_improves_paper_alignment
low_hidden_failure,concentrated_bus34,CRI_recomputed,0.95,1,6.5,5.5,5.4999945000055,weighting_improves_paper_alignment
low_hidden_failure,concentrated_bus34,SLLR,0.98,1,6.85,5.85,5.84999415000585,weighting_changes_scale_only
low_hidden_failure,concentrated_bus34,SLFOR,0.98,3.6322505964947,18.7060905719477,15.073839975453,4.149998857458,weighting_changes_scale_only
low_hidden_failure,concentrated_bus34,SNVOR,0.98,1,6.85,5.85,5.84999415000585,weighting_changes_scale_only
low_hidden_failure,concentrated_bus34,CRI_basic,0.98,1.11029459614503,6.85,5.73970540385497,5.16952910898985,weighting_changes_scale_only
low_hidden_failure,concentrated_bus34,CRI_recomputed,0.98,1.11029459614503,6.85,5.73970540385497,5.16952910898985,weighting_changes_scale_only
low_hidden_failure,distributed_30_39,SLLR,0.9,1,4.48260431739799,3.48260431739799,3.48260083479716,weighting_changes_scale_only
low_hidden_failure,distributed_30_39,SLFOR,0.9,2.0883393408129,8.44206739483068,6.35372805401778,3.04247728679347,weighting_changes_scale_only
low_hidden_failure,distributed_30_39,SNVOR,0.9,1,5.69093706522289,4.69093706522289,4.69093237429052,weighting_changes_scale_only
low_hidden_failure,distributed_30_39,CRI_basic,0.9,1,5.53,4.53,4.52999547000453,weighting_changes_scale_only
low_hidden_failure,distributed_30_39,CRI_recomputed,0.9,1,5.53,4.53,4.52999547000453,weighting_changes_scale_only
low_hidden_failure,distributed_30_39,SLLR,0.95,1,5.14,4.14,4.13999586000414,weighting_improves_paper_alignment
low_hidden_failure,distributed_30_39,SLFOR,0.95,2.85476041608016,15.0290429068584,12.1742824907782,4.26455339567207,weighting_worsens_paper_alignment
low_hidden_failure,distributed_30_39,SNVOR,0.95,1.92682338253775,8.88296068066219,6.95613729812444,3.61015635943052,weighting_worsens_paper_alignment
low_hidden_failure,distributed_30_39,CRI_basic,0.95,1.37781524398594,7.2658936451862,5.88807840120026,4.27348597964443,weighting_improves_paper_alignment
low_hidden_failure,distributed_30_39,CRI_recomputed,0.95,1.37781524398594,7.26589364518619,5.88807840120025,4.27348597964442,weighting_improves_paper_alignment
