model_name,input_variable,formula_text,parameter_name,parameter_value,unit,source_equation,source_note
LVRT,wind_farm_voltage,"if V_WF<0.2 p.u. wind turbine may trip immediately; if 0.2<=V_WF<0.9 p.u. wind turbine may trip after operating for a period; therefore V_WF<0.9 has trip probability",V_low_forced_trip,0.2,p.u.,2.2;3.1.3,区间规则由论文给出；具体概率函数参数需进一步确认
LVRT,wind_farm_voltage,"low-voltage ride-through probabilistic trip region upper boundary",V_low_trip_region,0.9,p.u.,2.2;3.1.3,区间规则由论文给出；具体概率函数参数需进一步确认
HVRT,wind_farm_voltage,"if V_WF>1.3 p.u. wind turbine may trip immediately; if 1.1<V_WF<=1.3 p.u. wind turbine may trip after operating for a period; therefore V_WF>1.1 has trip probability",V_high_forced_trip,1.3,p.u.,2.2;3.1.3,区间规则由论文给出；具体概率函数参数需进一步确认
HVRT,wind_farm_voltage,"high-voltage ride-through probabilistic trip region lower boundary",V_high_trip_region,1.1,p.u.,2.2;3.1.3,区间规则由论文给出；具体概率函数参数需进一步确认
FRT,frequency,"f<46.5 immediate trip",f_lt_46_5,,Hz,Table 2-1,频率穿越运行时间由表2-1给出；概率函数仍需确认
FRT,frequency,"46.5<=f<47 at least 5 s",f_46_5_47,,Hz,Table 2-1,频率穿越运行时间由表2-1给出；概率函数仍需确认
FRT,frequency,"47<=f<47.5 at least 20 s",f_47_47_5,,Hz,Table 2-1,频率穿越运行时间由表2-1给出；概率函数仍需确认
FRT,frequency,"47.5<=f<48 at least 60 s",f_47_5_48,,Hz,Table 2-1,频率穿越运行时间由表2-1给出；概率函数仍需确认
FRT,frequency,"48<=f<48.5 at least 30 min",f_48_48_5,,Hz,Table 2-1,频率穿越运行时间由表2-1给出；概率函数仍需确认
FRT,frequency,"48.5<=f<50.5 continuous operation",f_48_5_50_5,,Hz,Table 2-1,频率穿越运行时间由表2-1给出；概率函数仍需确认
FRT,frequency,"50.5<=f<51 at least 3 min",f_50_5_51,,Hz,Table 2-1,频率穿越运行时间由表2-1给出；概率函数仍需确认
FRT,frequency,"51<=f<51.5 at least 30 s",f_51_51_5,,Hz,Table 2-1,频率穿越运行时间由表2-1给出；概率函数仍需确认
FRT,frequency,"f>=51.5 immediate trip",f_ge_51_5,,Hz,Table 2-1,频率穿越运行时间由表2-1给出；概率函数仍需确认
