parameter_set_id,scenario_id,candidate_branch,sample_count,mean_PL_simple_sum,mean_PL_independent_union,mean_abs_difference,max_abs_difference,relative_difference_mean,PL_sum_exceeds_one_count,candidate_probability_equals_simple_sum,candidate_probability_equals_union,difference_material,recommended_fix,note
benchmark_calibrated_seed,wind_speed_11_28,1,234,0.889561460659029,0.887843359571728,0.00171810108730092,0.00199284952682799,0.00175559127358084,207,1,0,1,need_manual_paper_confirmation,"Simple-sum and independent-union differ materially, but paper union requirement is not confirmed."
benchmark_calibrated_seed,wind_speed_11_28,2,77,0.647531735511823,0.646300889578904,0.0012308459329191,0.001990075265345,0.00136651193045021,49,1,0,1,need_manual_paper_confirmation,"Simple-sum and independent-union differ materially, but paper union requirement is not confirmed."
benchmark_calibrated_seed,wind_speed_11_28,3,462,0.954055042076426,0.95223282758489,0.00182221449153503,0.00199166307148302,0.00184962539824839,438,1,0,1,need_manual_paper_confirmation,"Simple-sum and independent-union differ materially, but paper union requirement is not confirmed."
benchmark_calibrated_seed,wind_speed_11_28,4,99,0.71843961011943,0.717061499628635,0.00137811049079539,0.00198425105704603,0.00149753990190665,68,1,0,1,need_manual_paper_confirmation,"Simple-sum and independent-union differ materially, but paper union requirement is not confirmed."
benchmark_calibrated_seed,wind_speed_11_28,5,31,0.001575046477,0.00157452330192165,5.23175078349924e-07,5.23175078349924e-07,0.000332164850999457,0,1,0,0,no_fix_required,"Simple-sum and union difference is diagnostic only; available extracted paper formula does not confirm union."
benchmark_calibrated_seed,wind_speed_11_28,6,168,0.746509957301855,0.745209545415639,0.00130041188621618,0.00199019204857998,0.00146098119125952,81,1,0,1,need_manual_paper_confirmation,"Simple-sum and independent-union differ materially, but paper union requirement is not confirmed."
benchmark_calibrated_seed,wind_speed_11_28,7,74,0.561122678611774,0.560020167015874,0.00110251159589992,0.00199444690054995,0.0012549514075844,41,1,0,1,need_manual_paper_confirmation,"Simple-sum and independent-union differ materially, but paper union requirement is not confirmed."
benchmark_calibrated_seed,wind_speed_11_28,8,331,0.73014720023075,0.72891778257598,0.00122941765477108,0.00199169117896802,0.00147060881358922,168,1,0,1,need_manual_paper_confirmation,"Simple-sum and independent-union differ materially, but paper union requirement is not confirmed."
benchmark_calibrated_seed,wind_speed_11_28,9,139,0.732200337291426,0.730868168799465,0.00133216849196178,0.00199427553720799,0.00149965946074231,88,1,0,1,need_manual_paper_confirmation,"Simple-sum and independent-union differ materially, but paper union requirement is not confirmed."
benchmark_calibrated_seed,wind_speed_11_28,10,123,0.690675466157805,0.689403448788835,0.00127201736897021,0.00198970708173696,0.00144836581084297,74,1,0,1,need_manual_paper_confirmation,"Simple-sum and independent-union differ materially, but paper union requirement is not confirmed."
benchmark_calibrated_seed,wind_speed_11_28,11,59,0.378240281009364,0.377812223794907,0.000428057214456491,0.00189895004999996,0.000729932959661796,1,1,0,1,need_manual_paper_confirmation,"Simple-sum and independent-union differ materially, but paper union requirement is not confirmed."
benchmark_calibrated_seed,wind_speed_11_28,12,158,0.79119038403186,0.789890126142249,0.00130025788961036,0.00199221901339297,0.001378289414934,75,1,0,1,need_manual_paper_confirmation,"Simple-sum and independent-union differ materially, but paper union requirement is not confirmed."
benchmark_calibrated_seed,wind_speed_11_28,13,381,0.920470627859544,0.918703793109561,0.00176683474998163,0.00198428872386203,0.00181059046714487,346,1,0,1,need_manual_paper_confirmation,"Simple-sum and independent-union differ materially, but paper union requirement is not confirmed."
benchmark_calibrated_seed,wind_speed_11_28,14,301,0.648434875010821,0.647429672660108,0.00100520235071356,0.00199498775975404,0.00133362369094421,79,1,0,1,need_manual_paper_confirmation,"Simple-sum and independent-union differ materially, but paper union requirement is not confirmed."
benchmark_calibrated_seed,wind_speed_11_28,15,63,0.56648304725898,0.565410864625924,0.0010721826330559,0.00198758693638101,0.00108778311669746,27,1,0,1,need_manual_paper_confirmation,"Simple-sum and independent-union differ materially, but paper union requirement is not confirmed."
benchmark_calibrated_seed,wind_speed_11_28,16,132,0.773537640113496,0.772066401718044,0.00147123839545186,0.001992599434542,0.00152391380600599,93,1,0,1,need_manual_paper_confirmation,"Simple-sum and independent-union differ materially, but paper union requirement is not confirmed."
benchmark_calibrated_seed,wind_speed_11_28,17,141,0.765293562726744,0.763820632613013,0.00147293011373102,0.00199433355302803,0.00160600652204415,102,1,0,1,need_manual_paper_confirmation,"Simple-sum and independent-union differ materially, but paper union requirement is not confirmed."
benchmark_calibrated_seed,wind_speed_11_28,18,330,0.939031231982116,0.937224575782494,0.00180665619962233,0.00199489021564203,0.00181834416204496,295,1,0,1,need_manual_paper_confirmation,"Simple-sum and independent-union differ materially, but paper union requirement is not confirmed."
benchmark_calibrated_seed,wind_speed_11_28,19,319,0.733640730550685,0.73252593822351,0.00111479232717509,0.00199123864724104,0.00137287393369241,110,1,0,1,need_manual_paper_confirmation,"Simple-sum and independent-union differ materially, but paper union requirement is not confirmed."
