source_file,source_function,formula_item,expected_paper_behavior,current_behavior,match_status,issue_type,recommended_fix,note
C:\Users\24186\Documents\New project 13\src\outage\compute_paper_line_outage_probability.m,compute_paper_line_outage_probability,P1_formula,"P1 = P_flow*(1-P_in_r)*(1-P_in_c)","P_flow * (1 - P_in_r) * (1 - P_in_c)",match,no_issue,no_fix_required,Offline source audit only; no formula change unless paper definition is explicit.
C:\Users\24186\Documents\New project 13\src\outage\compute_paper_line_outage_probability.m,compute_paper_line_outage_probability,P_mis_r_formula,"P_mis_r = P_HF_D + P_HF_L - P_HF_D*P_HF_L","P_HF_D + P_HF_L - P_HF_D * P_HF_L",match,no_issue,no_fix_required,Offline source audit only; no formula change unless paper definition is explicit.
C:\Users\24186\Documents\New project 13\src\outage\compute_paper_line_outage_probability.m,compute_paper_line_outage_probability,P2_formula,"P2 = P_mis_c + P_mis_r*(1-P_in_c)","P_mis_c + P_mis_r * (1 - P_in_c)",match,no_issue,no_fix_required,Offline source audit only; no formula change unless paper definition is explicit.
C:\Users\24186\Documents\New project 13\src\outage\compute_paper_line_outage_probability.m,compute_paper_line_outage_probability,P3_formula,"P3 read from cfg/table; not fabricated","paper_line_P3",match,no_issue,no_fix_required,Offline source audit only; no formula change unless paper definition is explicit.
C:\Users\24186\Documents\New project 13\src\outage\compute_paper_line_outage_probability.m,compute_paper_line_outage_probability,PL_formula,"Current encoded paper structure uses P_L = P1 + P2 + P3 with final clipping","P1 + P2 + P3",match,no_issue,no_fix_required,Offline source audit only; no formula change unless paper definition is explicit.
C:\Users\24186\Documents\New project 13\src\outage\compute_paper_line_outage_probability.m,compute_paper_line_outage_probability,PL_clipping,"P_L clipped to [0,1] after summing terms","min(max(P1 + P2 + P3, 0), 1)",match,no_issue,no_fix_required,Offline source audit only; no formula change unless paper definition is explicit.
paper_inputs/filled and validated,paper_formula_reference,event_mutual_exclusivity,"Paper text available in repository does not explicitly confirm mutual exclusivity beyond listed sum formula.","manual confirmation required",ambiguous,unknown,need_manual_paper_confirmation,Offline source audit only; no formula change unless paper definition is explicit.
paper_inputs/filled and validated,paper_formula_reference,inclusion_exclusion_needed,"Do not switch to union unless paper explicitly requires inclusion-exclusion.","union not confirmed by available extracted inputs",missing_paper_definition,PL_should_use_inclusion_exclusion,need_manual_paper_confirmation,Offline source audit only; no formula change unless paper definition is explicit.
C:\Users\24186\Documents\New project 13\src\cascade\compute_stage_transition_probability_from_candidates.m,compute_stage_transition_probability_from_candidates,candidate_probability_equals_PL,"Candidate probability should be the line outage probability P_L for the candidate line.","candidate_probability",match,no_issue,no_fix_required,Offline source audit only; no formula change unless paper definition is explicit.
C:\Users\24186\Documents\New project 13\src\cascade\compute_stage_transition_probability_from_candidates.m,compute_stage_transition_probability_from_candidates,stage_probability_uses_candidate_probability,"Full-event stage probability multiplies selected p and unselected (1-p).","selected_product * unselected_product",match,no_issue,no_fix_required,Offline source audit only; no formula change unless paper definition is explicit.
C:\Users\24186\Documents\New project 13\src\cascade\aggregate_chain_transition_probability.m,aggregate_chain_transition_probability,chain_probability_uses_stage_probability,"Chain probability is product of stage transition probabilities.","prod(stage_probs)",match,no_issue,no_fix_required,Offline source audit only; no formula change unless paper definition is explicit.
C:\Users\24186\Documents\New project 13\src\cascade\compute_stage_transition_probability_from_candidates.m,compute_stage_transition_probability_from_candidates,duplicate_probability_multiplication,"P_L is used once as Bernoulli probability per candidate; complements are event aggregation, not re-applying P_L formula.","full Bernoulli event aggregation",match,no_issue,no_fix_required,Offline source audit only; no formula change unless paper definition is explicit.
C:\Users\24186\Documents\New project 13\src\outage\compute_paper_line_outage_probability.m,compute_paper_line_outage_probability,legacy_mode_separation,"Legacy modes must remain explicit diagnostic-only options.","legacy",match,no_issue,no_fix_required,Offline source audit only; no formula change unless paper definition is explicit.
