parameter_set_id,candidate_branch,delta_line_loading,delta_P1,delta_P2,delta_P3,delta_PL_recorded,delta_PL_union_proxy,dominant_probability_term,PL_aggregation_effect,effect_on_wind_speed_trend,recommended_fix,note
benchmark_calibrated_seed,1,0.0986025193227107,0.0140447438085535,0.00617582186171203,0,0.014061717375527,0.0140416541030092,P1_dominant,union_would_not_change_direction,paper_formula_still_increases_12mps_risk,need_manual_paper_confirmation,Branch-level mean contribution delta from existing traces; no formula change applied.
benchmark_calibrated_seed,2,0.0958718153374134,0.0980811388148096,0.00274150604585556,0,0.0981791662590634,0.0979788279138377,P1_dominant,union_would_not_change_direction,paper_formula_still_increases_12mps_risk,need_manual_paper_confirmation,Branch-level mean contribution delta from existing traces; no formula change applied.
benchmark_calibrated_seed,3,0.0347097456598169,0.0119566134690966,0.000520025113732454,0,0.0119311028408011,0.0119445126810962,P1_dominant,union_would_not_change_direction,paper_formula_still_increases_12mps_risk,need_manual_paper_confirmation,Branch-level mean contribution delta from existing traces; no formula change applied.
benchmark_calibrated_seed,4,0.0976617178808148,0.0680030386025814,0.00769130424604137,0,0.0680713890921003,0.0679436781803457,P1_dominant,union_would_not_change_direction,paper_formula_still_increases_12mps_risk,need_manual_paper_confirmation,Branch-level mean contribution delta from existing traces; no formula change applied.
benchmark_calibrated_seed,5,0.0192811694943478,5.42101086242752e-20,-2.16840434497101e-19,0,0,0,no_clear_term,simple_sum_ok,no_clear_effect,no_PL_aggregation_fix_required,Branch-level mean contribution delta from existing traces; no formula change applied.
benchmark_calibrated_seed,6,0.00119247249069243,0.0312895111195041,-0.000911793900717755,0,0.0313460828797006,0.0312533012707762,P1_dominant,union_would_not_change_direction,paper_formula_still_increases_12mps_risk,need_manual_paper_confirmation,Branch-level mean contribution delta from existing traces; no formula change applied.
benchmark_calibrated_seed,7,0.0373446857796953,0.0547786469302922,-0.00137986929195247,0,0.0548059723076176,0.0547156868386017,P1_dominant,union_would_not_change_direction,paper_formula_still_increases_12mps_risk,need_manual_paper_confirmation,Branch-level mean contribution delta from existing traces; no formula change applied.
benchmark_calibrated_seed,8,-0.0432237583225594,0.0534591227122171,-0.00322931527204712,0,0.0533613025011265,0.0533939157351269,P1_dominant,union_would_not_change_direction,paper_formula_still_increases_12mps_risk,need_manual_paper_confirmation,Branch-level mean contribution delta from existing traces; no formula change applied.
benchmark_calibrated_seed,9,-0.0517695980253177,-0.0259493203501722,-0.000857728839410321,0,-0.0259618959685605,-0.0259225166470576,P1_dominant,union_would_not_change_direction,no_clear_effect,need_manual_paper_confirmation,Branch-level mean contribution delta from existing traces; no formula change applied.
benchmark_calibrated_seed,10,-0.0151900498113942,0.0336067592339386,-0.00206249846077983,0,0.033532127743788,0.0335657024711175,P1_dominant,union_would_not_change_direction,paper_formula_still_increases_12mps_risk,need_manual_paper_confirmation,Branch-level mean contribution delta from existing traces; no formula change applied.
benchmark_calibrated_seed,11,0.120277433368958,0.184890714657815,0.00170575513711704,0,0.185339365473496,0.184690929566925,P1_dominant,union_would_not_change_direction,paper_formula_still_increases_12mps_risk,need_manual_paper_confirmation,Branch-level mean contribution delta from existing traces; no formula change applied.
