parameter_set_id,candidate_branch,mean_P_L_11_28,mean_P_L_12_00,delta_P_L,mean_P_flow_11_28,mean_P_flow_12_00,delta_P_flow,mean_P_HF_L_11_28,mean_P_HF_L_12_00,delta_P_HF_L,mean_P_mis_r_11_28,mean_P_mis_r_12_00,delta_P_mis_r,mean_P1_11_28,mean_P1_12_00,delta_P1,mean_P2_11_28,mean_P2_12_00,delta_P2,mean_line_loading_11_28,mean_line_loading_12_00,delta_line_loading,selected_count_11_28,selected_count_12_00,probability_driver,note
high_hidden_failure,1,0.0958309936516368,0.115169785363275,0.0193387917116383,0.0903961045857294,0.109856723672276,0.0194606190865461,0.0103995278922151,0.0126319301631507,0.00223240227093555,0.0103995278922151,0.0126319301631507,0.00223240227093555,0.0894944034424855,0.108760902853643,0.0192664994111575,0.0113475302527542,0.013568770512335,0.00222124025958082,0.502772140435966,0.547283510550708,0.0445113701147426,242,298,mixed_probability_increase,diagnostic component delta; not parameter tuning
high_hidden_failure,2,0.0279611140169777,0.0399696558156707,0.012008541798693,0.0221185267789875,0.0342017337457925,0.012083206966805,0.00645514072730597,0.00716096106241218,0.000705820335106202,0.00645514072730597,0.00716096106241218,0.000705820335106202,0.0218978944743671,0.0338605714516779,0.0119626769773109,0.00742286502366952,0.00812515625710022,0.000702291233430697,0.245393188642506,0.275563399268437,0.0301702106259308,79,114,mixed_probability_increase,diagnostic component delta; not parameter tuning
high_hidden_failure,3,0.234752246791449,0.259697341312981,0.0249450945215327,0.230190168047539,0.255336374710541,0.0251462066630016,0.0217946906407526,0.0240182786471531,0.0022235880064005,0.0217946906407526,0.0240182786471531,0.0022235880064005,0.227894021121266,0.252789394372804,0.0248953732515373,0.0226857171875486,0.024898187253917,0.00221247006636844,0.860882168156865,0.889587185552688,0.0287050173958234,523,579,mixed_probability_increase,diagnostic component delta; not parameter tuning
high_hidden_failure,4,0.0413291466501806,0.0495789527119258,0.00824980606174512,0.035571390146161,0.0438764842163354,0.00830509407017443,0.00662337742160552,0.00737385674426206,0.000750479322656537,0.00662337742160552,0.00737385674426206,0.000750479322656537,0.0352165655294533,0.0434388162862778,0.00822225075682447,0.0075902605344976,0.00833698746054088,0.000746726926043272,0.44963443899204,0.457883959461533,0.00824952046949257,92,114,mixed_probability_increase,diagnostic component delta; not parameter tuning
high_hidden_failure,5,0.010365145113913,0.0104613711936725,9.62260797594486e-05,0.00441058773746369,0.0045065159984492,9.59282609855139e-05,0.00528112404139268,0.00522373153495238,-5.73925064403019e-05,0.00528112404139268,0.00522373153495238,-5.73925064403019e-05,0.00436659212478249,0.00446156350136467,9.49713765821753e-05,0.00625471842118577,0.00619761287727766,-5.71055439081035e-05,0.472870107829992,0.504186952363926,0.0313168445339347,14,17,mixed_probability_increase,diagnostic component delta; not parameter tuning
high_hidden_failure,6,0.0795402779755603,0.0835811687619059,0.00404089078634555,0.0741061197560837,0.0781569558988209,0.00405083614273717,0.0068156465700776,0.00674083459401183,-7.48119760657726e-05,0.0068156465700776,0.00674083459401183,-7.48119760657726e-05,0.0733669112115158,0.0773773402637292,0.00401042905221349,0.00778156833722733,0.00770713042104188,-7.44379161854505e-05,0.440182883979731,0.445130108855492,0.0049472248757616,215,236,mixed_probability_increase,diagnostic component delta; not parameter tuning
high_hidden_failure,7,0.0318934623825397,0.031563030017813,-0.000330432364726789,0.0260894278894175,0.0257584142729486,-0.000331013616468853,0.00592438326506877,0.00570925838875411,-0.000215124876314659,0.00592438326506877,0.00570925838875411,-0.000215124876314659,0.0258291858462207,0.0255014740905762,-0.000327711755644472,0.00689476134874352,0.00668071209681042,-0.000214049251933095,0.310010033854962,0.318703033247552,0.00869299939259044,75,75,line_loading_increase,diagnostic component delta; not parameter tuning
high_hidden_failure,8,0.174922278581686,0.174023703996183,-0.000898574585503353,0.170186145584946,0.169366920959098,-0.000819224625847881,0.0114853270909278,0.00976869294324322,-0.00171663414768454,0.0114853270909278,0.00976869294324322,-0.00171663414768454,0.168488538782736,0.167677485922532,-0.000811052860204553,0.0124279004554732,0.0107198494785271,-0.00170805097694612,0.619146492863849,0.601269605296556,-0.0178768875672932,386,407,no_probability_increase,diagnostic component delta; not parameter tuning
high_hidden_failure,9,0.0711848053897365,0.0557009664048513,-0.0154838389848852,0.0656438572627598,0.0500552909010515,-0.0155885663617083,0.00817933426211419,0.00761581682024156,-0.000563517441872625,0.00817933426211419,0.00761581682024156,-0.000563517441872625,0.0649890597865635,0.0495559893743132,-0.0154330704122503,0.00913843759080376,0.00857773773614048,-0.000560699854663274,0.535436215657163,0.514650831857603,-0.0207853837995596,151,109,no_probability_increase,diagnostic component delta; not parameter tuning
high_hidden_failure,10,0.062473204052924,0.0517312264965669,-0.010741977556357,0.0568688859583609,0.0460849391036946,-0.0107839468546663,0.00692609538971433,0.006088078217479,-0.000838017172235333,0.00692609538971433,0.006088078217479,-0.000838017172235333,0.0563016188209258,0.0456252418361347,-0.0106763769847911,0.00789146491276585,0.00705763782639167,-0.000833827086374179,0.563753085409751,0.547444686502391,-0.0163083989073596,162,140,no_probability_increase,diagnostic component delta; not parameter tuning
high_hidden_failure,11,0.0226651711621177,0.0244628474998048,0.00179767633768711,0.0168266148284331,0.0186239120657759,0.00179729723734282,0.00516768785215492,0.00514558805527406,-2.20997968808602e-05,0.00516768785215492,0.00514558805527406,-2.20997968808602e-05,0.0166587693455192,0.0184381385429194,0.00177936919740022,0.00614184941289419,0.00611986011499773,-2.19892978964601e-05,0.390644897983814,0.396809952573897,0.00616505459008349,56,79,mixed_probability_increase,diagnostic component delta; not parameter tuning
high_hidden_failure,12,0.0606296531975444,0.0557863743788145,-0.00484327881872989,0.0550542936348169,0.0501384797649112,-0.00491581386990572,0.00669742364440008,0.00629771249705986,-0.000399711147340226,0.00669742364440008,0.00629771249705986,-0.000399711147340226,0.0545051270558096,0.049638348429256,-0.00486677862655358,0.00766393652617818,0.00726622393457464,-0.000397712591603538,0.558342528541218,0.547497588517143,-0.0108449400240742,164,154,no_probability_increase,diagnostic component delta; not parameter tuning
high_hidden_failure,13,0.17378922758717,0.174270965122344,0.000481737535174054,0.168851101675903,0.169320831727119,0.000469730051216088,0.0154289501912656,0.0151628281789669,-0.000266122012298744,0.0154289501912656,0.0151628281789669,-0.000266122012298744,0.167166811936686,0.167631856430641,0.000465044493955236,0.0163518054403092,0.016087014038072,-0.000264791402237195,0.633181518509124,0.61966184629,-0.0135196722191243,393,404,mixed_probability_increase,diagnostic component delta; not parameter tuning
high_hidden_failure,14,0.150605226450673,0.183457922639445,0.0328526961887728,0.145859905581304,0.178999564872092,0.0331396592907879,0.00709279475393633,0.00705590281665458,-3.68919372817416e-05,0.00709279475393633,0.00705590281665458,-3.68919372817416e-05,0.144404953023131,0.177214044212493,0.0328090911893622,0.00805733078016669,0.00802062330257136,-3.67074775953352e-05,0.678626137142319,0.695967455928348,0.0173413187860292,362,427,mixed_probability_increase,diagnostic component delta; not parameter tuning
high_hidden_failure,15,0.0223527175123934,0.0156325054301483,-0.00672021208224517,0.0164762404396467,0.00970741780001676,-0.00676882263962992,0.00533991676622913,0.0052703932945294,-6.95234716997324e-05,0.00533991676622913,0.0052703932945294,-6.95234716997324e-05,0.0163118899412612,0.00961058630746165,-0.00670130363379956,0.00631321718239804,0.00624404132805681,-6.91758543412344e-05,0.336896487807717,0.334256264583097,-0.00264022322461982,66,45,no_probability_increase,diagnostic component delta; not parameter tuning
high_hidden_failure,16,0.050016845309917,0.054743158251112,0.00472631294119499,0.0443494963735473,0.0491082933476807,0.00475879697413344,0.00556776873469503,0.00576675498927999,0.000198986254584962,0.00556776873469503,0.00576675498927999,0.000198986254584962,0.0439071101472222,0.0486184381215384,0.00471132797431625,0.00653992989102161,0.00673792121433366,0.000197991323312051,0.390778892865789,0.419559814340731,0.0287809214749415,122,148,mixed_probability_increase,diagnostic component delta; not parameter tuning
high_hidden_failure,17,0.0585058842954585,0.0600595271447791,0.00155364284932066,0.0528993635351488,0.0544605796149665,0.00156121607981766,0.00602869659815786,0.0062774622027537,0.00024876560459584,0.00602869659815786,0.0062774622027537,0.00024876560459584,0.0523716923838861,0.0539173353333075,0.00154564294942137,0.00699855311516715,0.00724607489174002,0.00024752177657287,0.376181004696491,0.404291462128116,0.0281104574316248,152,166,mixed_probability_increase,diagnostic component delta; not parameter tuning
high_hidden_failure,18,0.155618115683282,0.160283668332509,0.00466555264922683,0.150590459686877,0.155305614872778,0.00471515518590179,0.00972706924340004,0.00919680987203467,-0.000530259371365378,0.00972706924340004,0.00919680987203467,-0.000530259371365378,0.149088319851501,0.153756441364423,0.0046681215129224,0.0106784338971832,0.0101508258226746,-0.000527608074508567,0.557965832067501,0.549833377964334,-0.00813245410316654,344,360,mixed_probability_increase,diagnostic component delta; not parameter tuning
high_hidden_failure,19,0.183839410774267,0.190716385507016,0.00687697473274934,0.179300090920675,0.186324494452134,0.00702440353145875,0.00912889991449765,0.00822279069857077,-0.000906109215926874,0.00912889991449765,0.00822279069857077,-0.000906109215926874,0.177511572513743,0.184465907619976,0.00695433510623247,0.0100832554149252,0.00918167674507797,-0.000901578669847263,0.700743147767228,0.694114067829604,-0.00662907993762352,368,365,mixed_probability_increase,diagnostic component delta; not parameter tuning
high_hidden_failure,20,0.0602123931406454,0.0576153783101698,-0.00259701483047563,0.0546308117770334,0.0520109463805097,-0.00261986539652371,0.00619526349796804,0.00628215545189304,8.68919539250019e-05,0.00619526349796804,0.00628215545189304,8.68919539250019e-05,0.0540858694295572,0.0514921371903639,-0.00259373223919331,0.00716428718047821,0.00725074467463359,8.6457494155384e-05,0.810219964242981,0.806834531357413,-0.00338543288556858,123,113,mixed_probability_increase,diagnostic component delta; not parameter tuning
