parameter_set_id,metric_name,sigma,wind_speed_11_28_var,wind_speed_12_00_var,sim_direction,paper_expected_direction,direction_match,tail_initial_branch_set_11_28,tail_initial_branch_set_12_00,dominant_tail_branch_11_28,dominant_tail_branch_12_00,dominant_probability_driver,dominant_severity_driver,dominant_root_cause,recommended_fix,note
benchmark_calibrated_seed,CRI,0.9,0.570513610475234,1.0823785547544,12mps_higher_than_11p28,12mps_expected_lower_or_not_higher,0,,,NaN,NaN,mixed_probability_increase,no_severity_increase,line_probability_formula_response,inspect_line_outage_probability_formula,Tail branch sets are not recomputed from per-sigma samples in this diagnostic summary.
benchmark_calibrated_seed,CRI,0.95,1.18168567956709,1.95374415453932,12mps_higher_than_11p28,12mps_expected_lower_or_not_higher,0,,,NaN,NaN,mixed_probability_increase,no_severity_increase,line_probability_formula_response,inspect_line_outage_probability_formula,Tail branch sets are not recomputed from per-sigma samples in this diagnostic summary.
benchmark_calibrated_seed,CRI,0.98,2.73848650671089,3.09560868881318,12mps_higher_than_11p28,12mps_expected_lower_or_not_higher,0,,,NaN,NaN,mixed_probability_increase,no_severity_increase,line_probability_formula_response,inspect_line_outage_probability_formula,Tail branch sets are not recomputed from per-sigma samples in this diagnostic summary.
benchmark_calibrated_seed,SLFOR,0.9,0.768448020714538,1.55972680812105,12mps_higher_than_11p28,12mps_expected_lower_or_not_higher,0,,,NaN,NaN,mixed_probability_increase,no_severity_increase,line_probability_formula_response,inspect_line_outage_probability_formula,Tail branch sets are not recomputed from per-sigma samples in this diagnostic summary.
benchmark_calibrated_seed,SLFOR,0.95,1.5048451252199,2.61266968818087,12mps_higher_than_11p28,12mps_expected_lower_or_not_higher,0,,,NaN,NaN,mixed_probability_increase,no_severity_increase,line_probability_formula_response,inspect_line_outage_probability_formula,Tail branch sets are not recomputed from per-sigma samples in this diagnostic summary.
benchmark_calibrated_seed,SLFOR,0.98,6.71111302447729,7.02967156934144,12mps_higher_than_11p28,12mps_expected_lower_or_not_higher,0,,,NaN,NaN,mixed_probability_increase,no_severity_increase,line_probability_formula_response,inspect_line_outage_probability_formula,Tail branch sets are not recomputed from per-sigma samples in this diagnostic summary.
benchmark_calibrated_seed,SLLR,0.9,0.548247311409947,0.856882874741266,12mps_higher_than_11p28,12mps_expected_lower_or_not_higher,0,,,NaN,NaN,mixed_probability_increase,no_severity_increase,line_probability_formula_response,inspect_line_outage_probability_formula,Tail branch sets are not recomputed from per-sigma samples in this diagnostic summary.
benchmark_calibrated_seed,SLLR,0.95,0.862998509662281,1.60548982499603,12mps_higher_than_11p28,12mps_expected_lower_or_not_higher,0,,,NaN,NaN,mixed_probability_increase,no_severity_increase,line_probability_formula_response,inspect_line_outage_probability_formula,Tail branch sets are not recomputed from per-sigma samples in this diagnostic summary.
benchmark_calibrated_seed,SLLR,0.98,2.31418574375825,1.95546365938053,matches_paper_direction,12mps_expected_lower_or_not_higher,1,,,NaN,NaN,mixed_probability_increase,no_severity_increase,trend_matches_paper,hold_parameter_refinement_until_full_pilot_review,Tail branch sets are not recomputed from per-sigma samples in this diagnostic summary.
benchmark_calibrated_seed,SNVOR,0.9,0.476155081934452,0.739732114115328,12mps_higher_than_11p28,12mps_expected_lower_or_not_higher,0,,,NaN,NaN,mixed_probability_increase,no_severity_increase,line_probability_formula_response,inspect_line_outage_probability_formula,Tail branch sets are not recomputed from per-sigma samples in this diagnostic summary.
