parameter_set_id,initial_branch,trial_id,metric_name,R_11_28,R_12_00,delta_12_minus_11,basic_metric_11_28,basic_metric_12_00,delta_basic_metric,chain_prob_11_28,chain_prob_12_00,delta_chain_prob,max_line_loading_11_28,max_line_loading_12_00,delta_max_line_loading,terminated_reason_11_28,terminated_reason_12_00,pair_status,likely_driver,note
high_hidden_failure,1,1,SLLR,0.0846973969133233,0.0669698947342135,-0.0177275021791098,0.310223001072874,0.310223001072874,0,0.0623335638056375,0.0492869008801292,-0.0130466629255083,1.29526460980635,1.3001732065106,0.00490859670424992,load_loss_threshold,load_loss_threshold,paired_by_initial_branch_trial,line_loading_increase,common-random diagnostic pair; not formal benchmark
high_hidden_failure,1,1,SLFOR,0.154341481360431,0.120336299390892,-0.0340051819695398,0.565309906592115,0.557430888658312,-0.00787901793380297,0.0623335638056375,0.0492869008801292,-0.0130466629255083,1.29526460980635,1.3001732065106,0.00490859670424992,load_loss_threshold,load_loss_threshold,paired_by_initial_branch_trial,line_loading_increase,common-random diagnostic pair; not formal benchmark
high_hidden_failure,1,1,SNVOR,0.0502647929489375,0.043169884790895,-0.00709490815804242,0.184105952310243,0.199974798660686,0.015868846350443,0.0623335638056375,0.0492869008801292,-0.0130466629255083,1.29526460980635,1.3001732065106,0.00490859670424992,load_loss_threshold,load_loss_threshold,paired_by_initial_branch_trial,severity_increase,common-random diagnostic pair; not formal benchmark
high_hidden_failure,1,1,CRI,0.0917396930098677,0.0728831736768854,-0.0188565193329823,0.336016972424196,0.337614938107524,0.00159796568332804,0.0623335638056375,0.0492869008801292,-0.0130466629255083,1.29526460980635,1.3001732065106,0.00490859670424992,load_loss_threshold,load_loss_threshold,paired_by_initial_branch_trial,severity_increase,common-random diagnostic pair; not formal benchmark
high_hidden_failure,1,2,SLLR,0.00470180680459314,0.00633425650732291,0.00163244970272977,1,1,0,0.00107347187319478,0.00144617728477692,0.00037270541158214,1.30655854601105,1.3123367738329,0.00577822782184989,load_loss_threshold,load_loss_threshold,paired_by_initial_branch_trial,chain_probability_increase,common-random diagnostic pair; not formal benchmark
high_hidden_failure,1,2,SLFOR,0.00470180680459314,0.00633425650732291,0.00163244970272977,1,1,0,0.00107347187319478,0.00144617728477692,0.00037270541158214,1.30655854601105,1.3123367738329,0.00577822782184989,load_loss_threshold,load_loss_threshold,paired_by_initial_branch_trial,chain_probability_increase,common-random diagnostic pair; not formal benchmark
high_hidden_failure,1,2,SNVOR,0.00470180680459314,0.00633425650732291,0.00163244970272977,1,1,0,0.00107347187319478,0.00144617728477692,0.00037270541158214,1.30655854601105,1.3123367738329,0.00577822782184989,load_loss_threshold,load_loss_threshold,paired_by_initial_branch_trial,chain_probability_increase,common-random diagnostic pair; not formal benchmark
high_hidden_failure,1,2,CRI,0.00470180680459314,0.00633425650732291,0.00163244970272977,1,1,0,0.00107347187319478,0.00144617728477692,0.00037270541158214,1.30655854601105,1.3123367738329,0.00577822782184989,load_loss_threshold,load_loss_threshold,paired_by_initial_branch_trial,chain_probability_increase,common-random diagnostic pair; not formal benchmark
high_hidden_failure,1,3,SLLR,8.62615605563815e-06,2.05334295641741e-05,1.19072735085359e-05,0.605288964428875,0.605288964428875,0,3.25372200316501e-06,7.74505714277268e-06,4.49133513960767e-06,1.87175243837105,1.8913931617397,0.01964072336865,load_loss_threshold,load_loss_threshold,paired_by_initial_branch_trial,chain_probability_increase,common-random diagnostic pair; not formal benchmark
high_hidden_failure,1,3,SLFOR,6.91248648729554e-05,0.000166867219820781,9.77423549478252e-05,4.85042440750764,4.91894870103296,0.0685242935253196,3.25372200316501e-06,7.74505714277268e-06,4.49133513960767e-06,1.87175243837105,1.8913931617397,0.01964072336865,load_loss_threshold,load_loss_threshold,paired_by_initial_branch_trial,mixed_probability_and_severity,common-random diagnostic pair; not formal benchmark
high_hidden_failure,1,3,SNVOR,5.20915717298042e-05,0.000125361521524148,7.3269949794344e-05,3.65521482621416,3.69543457440603,0.0402197481918698,3.25372200316501e-06,7.74505714277268e-06,4.49133513960767e-06,1.87175243837105,1.8913931617397,0.01964072336865,load_loss_threshold,load_loss_threshold,paired_by_initial_branch_trial,mixed_probability_and_severity,common-random diagnostic pair; not formal benchmark
