parameter_set_id,scenario_id,metric_name,paper_value,sim_var_value,absolute_gap,relative_gap,ratio_paper_to_sim,direction_status,note
benchmark_calibrated_seed,wind_speed_11_28,SLLR,7.5361,0.862998509662281,-6.67310149033772,-0.88548461470165,8.73244992103079,sim_not_higher_than_paper,raw diagnostic comparison; not formal benchmark; benchmark_calibrated is not original paper
benchmark_calibrated_seed,wind_speed_11_28,SLFOR,6.0213,1.5048451252199,-4.5164548747801,-0.750079571637442,4.00127288703363,sim_not_higher_than_paper,raw diagnostic comparison; not formal benchmark; benchmark_calibrated is not original paper
benchmark_calibrated_seed,wind_speed_11_28,SNVOR,6.5482,0.974612644514954,-5.57358735548505,-0.85116314473014,6.7187649555829,sim_not_higher_than_paper,raw diagnostic comparison; not formal benchmark; benchmark_calibrated is not original paper
benchmark_calibrated_seed,wind_speed_11_28,CRI,7.0356,1.18168567956709,-5.85391432043291,-0.832041828471073,5.95386249304044,sim_not_higher_than_paper,raw diagnostic comparison; not formal benchmark; benchmark_calibrated is not original paper
benchmark_calibrated_seed,wind_speed_12_00,SLLR,6.6351,1.60548982499603,-5.02961017500397,-0.758030687852976,4.13275485396586,sim_not_higher_than_paper,raw diagnostic comparison; not formal benchmark; benchmark_calibrated is not original paper
benchmark_calibrated_seed,wind_speed_12_00,SLFOR,4.7631,2.61266968818087,-2.15043031181913,-0.451476949957418,1.82307706116472,sim_not_higher_than_paper,raw diagnostic comparison; not formal benchmark; benchmark_calibrated is not original paper
benchmark_calibrated_seed,wind_speed_12_00,SNVOR,4.9822,1.8534514195668,-3.1287485804332,-0.627985217865197,2.6880646880401,sim_not_higher_than_paper,raw diagnostic comparison; not formal benchmark; benchmark_calibrated is not original paper
benchmark_calibrated_seed,wind_speed_12_00,CRI,5.9301,1.95374415453932,-3.97635584546068,-0.670537625828073,3.03524745088787,sim_not_higher_than_paper,raw diagnostic comparison; not formal benchmark; benchmark_calibrated is not original paper
high_hidden_failure,wind_speed_11_28,SLLR,7.5361,0.365484763546393,-7.17061523645361,-0.9515020083268,20.6194077899929,sim_not_higher_than_paper,raw diagnostic comparison; not formal benchmark; benchmark_calibrated is not original paper
high_hidden_failure,wind_speed_11_28,SLFOR,6.0213,0.640383840913884,-5.38091615908612,-0.893646764891195,9.40262731923368,sim_not_higher_than_paper,raw diagnostic comparison; not formal benchmark; benchmark_calibrated is not original paper
high_hidden_failure,wind_speed_11_28,SNVOR,6.5482,0.305166713790335,-6.24303328620966,-0.953396709448849,21.4577090042328,sim_not_higher_than_paper,raw diagnostic comparison; not formal benchmark; benchmark_calibrated is not original paper
high_hidden_failure,wind_speed_11_28,CRI,7.0356,0.391257795596975,-6.64434220440302,-0.944388717382214,17.9819599691432,sim_not_higher_than_paper,raw diagnostic comparison; not formal benchmark; benchmark_calibrated is not original paper
high_hidden_failure,wind_speed_12_00,SLLR,6.6351,0.609938384262594,-6.02516161573741,-0.908073835761868,10.878294091505,sim_not_higher_than_paper,raw diagnostic comparison; not formal benchmark; benchmark_calibrated is not original paper
high_hidden_failure,wind_speed_12_00,SLFOR,4.7631,0.93199725195447,-3.83110274804553,-0.804329521470473,5.1106319030228,sim_not_higher_than_paper,raw diagnostic comparison; not formal benchmark; benchmark_calibrated is not original paper
high_hidden_failure,wind_speed_12_00,SNVOR,4.9822,0.545047356899122,-4.43715264310088,-0.890600889667213,9.14084032533302,sim_not_higher_than_paper,raw diagnostic comparison; not formal benchmark; benchmark_calibrated is not original paper
high_hidden_failure,wind_speed_12_00,CRI,5.9301,0.81599996512916,-5.11410003487084,-0.86239678461983,7.26727081635419,sim_not_higher_than_paper,raw diagnostic comparison; not formal benchmark; benchmark_calibrated is not original paper
