branch_index,from_bus,to_bus,island_count,main_island_id,disconnected_load_mw,disconnected_generation_mw,disconnected_wind_mw,original_slack_in_main_island,new_slack_bus,pf_converged_before_shedding,pf_converged_after_shedding,corrective_load_shed_mw,load_shed_mw,num_overloaded_lines,max_line_loading_pu,num_voltage_violations,max_voltage_deviation_pu,SLLR,SLFOR,SNVOR,CRI,main_island_load_share,original_slack_island_load_share,main_island_selection_reason
1,1,2,1,1,0,0,0,1,31,1,1,0,0,0,0.940761541270665,0,0,0,0,0,0,1,1,original_slack_island_has_sufficient_load
2,1,39,1,1,0,0,0,1,31,1,1,0,0,0,0.785654242516885,0,0,0,0,0,0,1,1,original_slack_island_has_sufficient_load
3,2,3,1,1,0,0,0,1,31,1,1,0,0,0,0.786162063473916,0,0,0,0,0,0,1,1,original_slack_island_has_sufficient_load
4,2,25,1,1,0,0,0,1,31,1,1,0,0,0,0.841815582605276,0,0,0,0,0,0,1,1,original_slack_island_has_sufficient_load
5,2,30,2,1,0,250,0,1,31,1,1,0,0,0,0.770529309958467,0,0,0,0,0,0,1,1,original_slack_island_has_sufficient_load
6,3,4,1,1,0,0,0,1,31,1,1,0,0,0,0.775386838260116,0,0,0,0,0,0,1,1,original_slack_island_has_sufficient_load
7,3,18,1,1,0,0,0,1,31,1,1,0,0,0,0.764008755373332,0,0,0,0,0,0,1,1,original_slack_island_has_sufficient_load
8,4,5,1,1,0,0,0,1,31,1,1,0,0,0,0.832661943655991,0,0,0,0,0,0,1,1,original_slack_island_has_sufficient_load
9,4,14,1,1,0,0,0,1,31,1,1,0,0,1,1.04151594269355,0,0,0,0.0415159426935534,0,0.00830318853871068,1,1,original_slack_island_has_sufficient_load
10,5,6,1,1,0,0,0,1,31,1,1,0,0,0,0.919475568243766,0,0,0,0,0,0,1,1,original_slack_island_has_sufficient_load
11,5,8,1,1,0,0,0,1,31,1,1,0,0,0,0.866923282462036,0,0,0,0,0,0,1,1,original_slack_island_has_sufficient_load
12,6,7,1,1,0,0,0,1,31,1,1,0,0,0,0.863144472926513,0,0,0,0,0,0,1,1,original_slack_island_has_sufficient_load
13,6,11,1,1,0,0,0,1,31,1,1,0,0,3,1.06683822477189,0,0,0,0.200514674315677,0,0.0401029348631354,1,1,original_slack_island_has_sufficient_load
14,6,31,2,1,9.2,677.871,0,0,39,1,1,0,9.2,1,1.10852252696377,0,0,0.0014710044242057,0.108522526963773,0,0.022587108047278,0.998528995575794,0.0014710044242057,largest_load_island_selected
15,7,8,1,1,0,0,0,1,31,1,1,0,0,0,0.763902398396952,0,0,0,0,0,0,1,1,original_slack_island_has_sufficient_load
16,8,9,1,1,0,0,0,1,31,1,1,0,0,0,0.77519011006618,0,0,0,0,0,0,1,1,original_slack_island_has_sufficient_load
17,9,39,1,1,0,0,0,1,31,1,1,0,0,0,0.764108228048508,0,0,0,0,0,0,1,1,original_slack_island_has_sufficient_load
18,10,11,1,1,0,0,0,1,31,1,1,0,0,1,1.09492345914844,0,0,0,0.094923459148442,0,0.0189846918296884,1,1,original_slack_island_has_sufficient_load
19,10,13,1,1,0,0,0,1,31,1,1,0,0,2,1.12814123526422,0,0,0,0.25628247052844,0,0.051256494105688,1,1,original_slack_island_has_sufficient_load
20,10,32,2,1,0,650,0,1,31,1,1,0,0,0,0.794160021773972,0,0,0,0,0,0,1,1,original_slack_island_has_sufficient_load
21,12,11,1,1,0,0,0,1,31,1,1,0,0,0,0.763810684086182,0,0,0,0,0,0,1,1,original_slack_island_has_sufficient_load
22,12,13,1,1,0,0,0,1,31,1,1,0,0,0,0.763450113726092,0,0,0,0,0,0,1,1,original_slack_island_has_sufficient_load
